"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.463,0,0,22,"APSIM","2_1",2,1,""
1990,0,2.512,0,22.2,"APSIM","2_1",2,1,""
1991,7.264,0,0,22.9,"APSIM","2_1",2,1,""
1992,0,1.169,0,23.1,"APSIM","2_1",2,1,""
1993,9.515,0,0,23.7,"APSIM","2_1",2,1,""
1994,0,2.578,0,23.8,"APSIM","2_1",2,1,""
1995,0,0,3.863,24.6,"APSIM","2_1",2,1,""
1996,8.106,0,0,24.8,"APSIM","2_1",2,1,""
1997,0,2.043,0,24.7,"APSIM","2_1",2,1,""
1998,0,0,3.236,25.4,"APSIM","2_1",2,1,""
1999,8.122,0,0,25.1,"APSIM","2_1",2,1,""
2000,0,2.155,0,25.1,"APSIM","2_1",2,1,""
2001,0,0,4.531,25.8,"APSIM","2_1",2,1,""
2002,7.834,0,0,26.1,"APSIM","2_1",2,1,""
2003,0,1.669,0,26,"APSIM","2_1",2,1,""
2004,0,0,4.047,26.3,"APSIM","2_1",2,1,""
2005,8.127,0,0,26.4,"APSIM","2_1",2,1,""
2006,0,1.834,0,26.4,"APSIM","2_1",2,1,""
2007,0,0,4.123,26.9,"APSIM","2_1",2,1,""
2008,9.369,0,0,27,"APSIM","2_1",2,1,""
2009,0,2.414,0,26.8,"APSIM","2_1",2,1,""
2010,0,0,3.384,27.5,"APSIM","2_1",2,1,""
2011,10.01,0,0,27.3,"APSIM","2_1",2,1,""
2012,0,2.426,0,27.2,"APSIM","2_1",2,1,""
2013,0,0,2.5,27.6,"APSIM","2_1",2,1,""
2014,10.585,0,0,27.6,"APSIM","2_1",2,1,""
2015,0,2.711,0,27.6,"APSIM","2_1",2,1,""
2016,0,0,3.182,28.4,"APSIM","2_1",2,1,""
2017,8.451,0,0,28,"APSIM","2_1",2,1,""
2018,0,2.891,0,28.1,"APSIM","2_1",2,1,""
2019,0,0,3.295,28.5,"APSIM","2_1",2,1,""
2020,9.336,0,0,28.9,"APSIM","2_1",2,1,""
2021,0,3.904,0,28.8,"APSIM","2_1",2,1,""
2022,0,0,1.843,29.1,"APSIM","2_1",2,1,""
2023,8.401,0,0,28.7,"APSIM","2_1",2,1,""
2024,0,2.683,0,28.7,"APSIM","2_1",2,1,""
2025,0,0,3.099,29,"APSIM","2_1",2,1,""
2026,8.372,0,0,29,"APSIM","2_1",2,1,""
2027,0,3.597,0,29.1,"APSIM","2_1",2,1,""
2028,0,0,2.385,29.4,"APSIM","2_1",2,1,""
2029,8.218,0,0,29.3,"APSIM","2_1",2,1,""
2030,0,4.133,0,29.2,"APSIM","2_1",2,1,""
2031,0,0,2.564,29.7,"APSIM","2_1",2,1,""
2032,7.296,0,0,29.6,"APSIM","2_1",2,1,""
2033,0,2.795,0,29.6,"APSIM","2_1",2,1,""
2034,0,0,2.094,29.8,"APSIM","2_1",2,1,""
2035,7.792,0,0,29.4,"APSIM","2_1",2,1,""
2036,0,2.547,0,29.7,"APSIM","2_1",2,1,""
2037,0,0,4.857,29.9,"APSIM","2_1",2,1,""
