"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"59.2602","RothC","3_42","3","4","2"
"1851",NA,NA,NA,"57.9536","RothC","3_42","3","4","2"
"1852",NA,NA,NA,"56.2528","RothC","3_42","3","4","2"
"1853",NA,NA,NA,"54.8058","RothC","3_42","3","4","2"
"1854",NA,NA,NA,"53.5581","RothC","3_42","3","4","2"
"1855",NA,NA,NA,"52.4158","RothC","3_42","3","4","2"
"1856",NA,NA,NA,"51.4024","RothC","3_42","3","4","2"
"1857",NA,NA,NA,"50.4843","RothC","3_42","3","4","2"
"1858",NA,NA,NA,"49.6617","RothC","3_42","3","4","2"
"1859",NA,NA,NA,"48.9087","RothC","3_42","3","4","2"
"1860",NA,NA,NA,"48.2313","RothC","3_42","3","4","2"
"1861",NA,NA,NA,"47.5719","RothC","3_42","3","4","2"
"1862",NA,NA,NA,"46.9766","RothC","3_42","3","4","2"
"1863",NA,NA,NA,"46.4281","RothC","3_42","3","4","2"
"1864",NA,NA,NA,"45.8942","RothC","3_42","3","4","2"
"1865",NA,NA,NA,"45.3912","RothC","3_42","3","4","2"
"1866",NA,NA,NA,"44.9227","RothC","3_42","3","4","2"
"1867",NA,NA,NA,"44.4664","RothC","3_42","3","4","2"
"1868",NA,NA,NA,"44.0255","RothC","3_42","3","4","2"
"1869",NA,NA,NA,"43.6006","RothC","3_42","3","4","2"
"1870",NA,NA,NA,"43.1763","RothC","3_42","3","4","2"
"1871",NA,NA,NA,"42.7871","RothC","3_42","3","4","2"
"1872",NA,NA,NA,"42.414","RothC","3_42","3","4","2"
"1873",NA,NA,NA,"42.0497","RothC","3_42","3","4","2"
"1874",NA,NA,NA,"41.6632","RothC","3_42","3","4","2"
"1875",NA,NA,NA,"41.2839","RothC","3_42","3","4","2"
"1876",NA,NA,NA,"40.9223","RothC","3_42","3","4","2"
"1877",NA,NA,NA,"40.6036","RothC","3_42","3","4","2"
"1878",NA,NA,NA,"40.3068","RothC","3_42","3","4","2"
"1879",NA,NA,NA,"39.9978","RothC","3_42","3","4","2"
"1880",NA,NA,NA,"39.6918","RothC","3_42","3","4","2"
"1881",NA,NA,NA,"39.3559","RothC","3_42","3","4","2"
"1882",NA,NA,NA,"39.0558","RothC","3_42","3","4","2"
"1883",NA,NA,NA,"38.7253","RothC","3_42","3","4","2"
"1884",NA,NA,NA,"38.4144","RothC","3_42","3","4","2"
"1885",NA,NA,NA,"38.1054","RothC","3_42","3","4","2"
"1886",NA,NA,NA,"37.7899","RothC","3_42","3","4","2"
"1887",NA,NA,NA,"37.5041","RothC","3_42","3","4","2"
"1888",NA,NA,NA,"37.2043","RothC","3_42","3","4","2"
"1889",NA,NA,NA,"36.8927","RothC","3_42","3","4","2"
"1890",NA,NA,NA,"36.6105","RothC","3_42","3","4","2"
"1891",NA,NA,NA,"36.3258","RothC","3_42","3","4","2"
"1892",NA,NA,NA,"36.0327","RothC","3_42","3","4","2"
"1893",NA,NA,NA,"35.7534","RothC","3_42","3","4","2"
"1894",NA,NA,NA,"35.4807","RothC","3_42","3","4","2"
"1895",NA,NA,NA,"35.2001","RothC","3_42","3","4","2"
"1896",NA,NA,NA,"34.9208","RothC","3_42","3","4","2"
"1897",NA,NA,NA,"34.6386","RothC","3_42","3","4","2"
"1898",NA,NA,NA,"34.3558","RothC","3_42","3","4","2"
"1899",NA,NA,NA,"34.0862","RothC","3_42","3","4","2"
"1900",NA,NA,NA,"33.9024","RothC","3_42","3","4","2"
"1901",NA,NA,NA,"33.7268","RothC","3_42","3","4","2"
"1902",NA,NA,NA,"33.5413","RothC","3_42","3","4","2"
"1903",NA,NA,NA,"33.3568","RothC","3_42","3","4","2"
"1904",NA,NA,NA,"33.1793","RothC","3_42","3","4","2"
"1905",NA,NA,NA,"33.0017","RothC","3_42","3","4","2"
"1906",NA,NA,NA,"32.8382","RothC","3_42","3","4","2"
"1907",NA,NA,NA,"32.6618","RothC","3_42","3","4","2"
"1908",NA,NA,NA,"32.4918","RothC","3_42","3","4","2"
"1909",NA,NA,NA,"32.3058","RothC","3_42","3","4","2"
"1910",NA,NA,NA,"32.1308","RothC","3_42","3","4","2"
"1911",NA,NA,NA,"31.9446","RothC","3_42","3","4","2"
"1912",NA,NA,NA,"31.7691","RothC","3_42","3","4","2"
"1913",NA,NA,NA,"31.5908","RothC","3_42","3","4","2"
"1914",NA,NA,NA,"31.4081","RothC","3_42","3","4","2"
"1915",NA,NA,NA,"31.2441","RothC","3_42","3","4","2"
"1916",NA,NA,NA,"31.0701","RothC","3_42","3","4","2"
"1917",NA,NA,NA,"30.885","RothC","3_42","3","4","2"
"1918",NA,NA,NA,"30.7222","RothC","3_42","3","4","2"
"1919",NA,NA,NA,"30.5577","RothC","3_42","3","4","2"
"1920",NA,NA,NA,"30.3881","RothC","3_42","3","4","2"
"1921",NA,NA,NA,"30.2258","RothC","3_42","3","4","2"
"1922",NA,NA,NA,"30.067","RothC","3_42","3","4","2"
"1923",NA,NA,NA,"29.9043","RothC","3_42","3","4","2"
"1924",NA,NA,NA,"29.7376","RothC","3_42","3","4","2"
"1925",NA,NA,NA,"29.5684","RothC","3_42","3","4","2"
"1926",NA,NA,NA,"29.3981","RothC","3_42","3","4","2"
"1927",NA,NA,NA,"29.2359","RothC","3_42","3","4","2"
"1928",NA,NA,NA,"29.0882","RothC","3_42","3","4","2"
"1929",NA,NA,NA,"28.9365","RothC","3_42","3","4","2"
"1930",NA,NA,NA,"28.7727","RothC","3_42","3","4","2"
"1931",NA,NA,NA,"28.6112","RothC","3_42","3","4","2"
"1932",NA,NA,NA,"28.4573","RothC","3_42","3","4","2"
"1933",NA,NA,NA,"28.3057","RothC","3_42","3","4","2"
"1934",NA,NA,NA,"28.166","RothC","3_42","3","4","2"
"1935",NA,NA,NA,"28.015","RothC","3_42","3","4","2"
"1936",NA,NA,NA,"27.8718","RothC","3_42","3","4","2"
"1937",NA,NA,NA,"27.7174","RothC","3_42","3","4","2"
"1938",NA,NA,NA,"27.5703","RothC","3_42","3","4","2"
"1939",NA,NA,NA,"27.4161","RothC","3_42","3","4","2"
"1940",NA,NA,NA,"27.2712","RothC","3_42","3","4","2"
"1941",NA,NA,NA,"27.1245","RothC","3_42","3","4","2"
"1942",NA,NA,NA,"26.9734","RothC","3_42","3","4","2"
"1943",NA,NA,NA,"26.8397","RothC","3_42","3","4","2"
"1944",NA,NA,NA,"26.6978","RothC","3_42","3","4","2"
"1945",NA,NA,NA,"26.5452","RothC","3_42","3","4","2"
"1946",NA,NA,NA,"26.4136","RothC","3_42","3","4","2"
"1947",NA,NA,NA,"26.2802","RothC","3_42","3","4","2"
"1948",NA,NA,NA,"26.143","RothC","3_42","3","4","2"
"1949",NA,NA,NA,"26.0121","RothC","3_42","3","4","2"
"1950",NA,NA,NA,"25.886","RothC","3_42","3","4","2"
"1951",NA,NA,NA,"25.7623","RothC","3_42","3","4","2"
"1952",NA,NA,NA,"25.6774","RothC","3_42","3","4","2"
"1953",NA,NA,NA,"25.5481","RothC","3_42","3","4","2"
"1954",NA,NA,NA,"25.4559","RothC","3_42","3","4","2"
"1955",NA,NA,NA,"25.3356","RothC","3_42","3","4","2"
"1956",NA,NA,NA,"25.2402","RothC","3_42","3","4","2"
"1957",NA,NA,NA,"25.1125","RothC","3_42","3","4","2"
"1958",NA,NA,NA,"25.0064","RothC","3_42","3","4","2"
"1959",NA,NA,NA,"24.8748","RothC","3_42","3","4","2"
"1960",NA,NA,NA,"24.7791","RothC","3_42","3","4","2"
"1961",NA,NA,NA,"24.6518","RothC","3_42","3","4","2"
"1962",NA,NA,NA,"24.5809","RothC","3_42","3","4","2"
"1963",NA,NA,NA,"24.4454","RothC","3_42","3","4","2"
"1964",NA,NA,NA,"24.3617","RothC","3_42","3","4","2"
"1965",NA,NA,NA,"24.2159","RothC","3_42","3","4","2"
"1966",NA,NA,NA,"24.1436","RothC","3_42","3","4","2"
"1967",NA,NA,NA,"24.0095","RothC","3_42","3","4","2"
"1968",NA,NA,NA,"23.9305","RothC","3_42","3","4","2"
"1969",NA,NA,NA,"23.8001","RothC","3_42","3","4","2"
"1970",NA,NA,NA,"23.7113","RothC","3_42","3","4","2"
"1971",NA,NA,NA,"23.607","RothC","3_42","3","4","2"
"1972",NA,NA,NA,"23.5651","RothC","3_42","3","4","2"
"1973",NA,NA,NA,"23.4451","RothC","3_42","3","4","2"
"1974",NA,NA,NA,"23.3787","RothC","3_42","3","4","2"
"1975",NA,NA,NA,"23.2589","RothC","3_42","3","4","2"
"1976",NA,NA,NA,"23.2003","RothC","3_42","3","4","2"
"1977",NA,NA,NA,"23.0969","RothC","3_42","3","4","2"
"1978",NA,NA,NA,"23.0563","RothC","3_42","3","4","2"
"1979",NA,NA,NA,"22.9388","RothC","3_42","3","4","2"
"1980",NA,NA,NA,"22.8927","RothC","3_42","3","4","2"
"1981",NA,NA,NA,"22.7721","RothC","3_42","3","4","2"
"1982",NA,NA,NA,"22.7391","RothC","3_42","3","4","2"
"1983",NA,NA,NA,"22.632","RothC","3_42","3","4","2"
"1984",NA,NA,NA,"22.5956","RothC","3_42","3","4","2"
"1985",NA,NA,NA,"22.4772","RothC","3_42","3","4","2"
"1986",NA,NA,NA,"22.4246","RothC","3_42","3","4","2"
"1987",NA,NA,NA,"22.3037","RothC","3_42","3","4","2"
"1988",NA,NA,NA,"22.2658","RothC","3_42","3","4","2"
"1989",NA,NA,NA,"22.148","RothC","3_42","3","4","2"
"1990",NA,NA,NA,"22.1775","RothC","3_42","3","4","2"
"1991",NA,NA,NA,"22.0036","RothC","3_42","3","4","2"
"1992",NA,NA,NA,"22.1328","RothC","3_42","3","4","2"
"1993",NA,NA,NA,"21.9447","RothC","3_42","3","4","2"
"1994",NA,NA,NA,"21.9679","RothC","3_42","3","4","2"
"1995",NA,NA,NA,"21.9239","RothC","3_42","3","4","2"
"1996",NA,NA,NA,"21.7771","RothC","3_42","3","4","2"
"1997",NA,NA,NA,"21.8645","RothC","3_42","3","4","2"
"1998",NA,NA,NA,"21.8944","RothC","3_42","3","4","2"
"1999",NA,NA,NA,"21.774","RothC","3_42","3","4","2"
"2000",NA,NA,NA,"21.761","RothC","3_42","3","4","2"
"2001",NA,NA,NA,"21.711","RothC","3_42","3","4","2"
"2002",NA,NA,NA,"21.7184","RothC","3_42","3","4","2"
"2003",NA,NA,NA,"21.7018","RothC","3_42","3","4","2"
"2004",NA,NA,NA,"21.6414","RothC","3_42","3","4","2"
"2005",NA,NA,NA,"21.4604","RothC","3_42","3","4","2"
"2006",NA,NA,NA,"21.4676","RothC","3_42","3","4","2"
"2007",NA,NA,NA,"21.4248","RothC","3_42","3","4","2"
"2008",NA,NA,NA,"21.2668","RothC","3_42","3","4","2"
"2009",NA,NA,NA,"21.2758","RothC","3_42","3","4","2"
"2010",NA,NA,NA,"21.2438","RothC","3_42","3","4","2"
"2011",NA,NA,NA,"21.1168","RothC","3_42","3","4","2"
"2012",NA,NA,NA,"21.1862","RothC","3_42","3","4","2"
"2013",NA,NA,NA,"21.2104","RothC","3_42","3","4","2"
"2014",NA,NA,NA,"21.2324","RothC","3_42","3","4","2"
"2015",NA,NA,NA,"21.2745","RothC","3_42","3","4","2"
"2016",NA,NA,NA,"21.2222","RothC","3_42","3","4","2"
"2017",NA,NA,NA,"21.0105","RothC","3_42","3","4","2"
"2018",NA,NA,NA,"21.0762","RothC","3_42","3","4","2"
"2019",NA,NA,NA,"21.0754","RothC","3_42","3","4","2"
