"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1850,2.20244,NA,NA,61.3,"Daycent","4_44",4,4,4
1851,2.77339111111111,NA,NA,62.2,"Daycent","4_44",4,4,4
1852,2.32533333333333,NA,NA,60,"Daycent","4_44",4,4,4
1853,1.95797333333333,NA,NA,58,"Daycent","4_44",4,4,4
1854,2.20792666666667,NA,NA,56.2,"Daycent","4_44",4,4,4
1855,2.06752,NA,NA,54.4,"Daycent","4_44",4,4,4
1856,1.82562444444444,NA,NA,52.5,"Daycent","4_44",4,4,4
1857,1.92157333333333,NA,NA,51.1,"Daycent","4_44",4,4,4
1858,2.36107333333333,NA,NA,49.5,"Daycent","4_44",4,4,4
1859,2.05798888888889,NA,NA,48,"Daycent","4_44",4,4,4
1860,1.53233555555556,NA,NA,46.7,"Daycent","4_44",4,4,4
1861,2.07053555555556,NA,NA,45.4,"Daycent","4_44",4,4,4
1862,1.69753111111111,NA,NA,44.2,"Daycent","4_44",4,4,4
1863,1.39585333333333,NA,NA,43.1,"Daycent","4_44",4,4,4
1864,1.51909333333333,NA,NA,42.1,"Daycent","4_44",4,4,4
1865,1.81007333333333,NA,NA,41.2,"Daycent","4_44",4,4,4
1866,1.58126666666667,NA,NA,40.2,"Daycent","4_44",4,4,4
1867,1.41413777777778,NA,NA,39.3,"Daycent","4_44",4,4,4
1868,1.6243,NA,NA,38.5,"Daycent","4_44",4,4,4
1869,1.17155333333333,NA,NA,37.6,"Daycent","4_44",4,4,4
1870,1.47444444444444,NA,NA,36.8,"Daycent","4_44",4,4,4
1871,1.51786888888889,NA,NA,35.9,"Daycent","4_44",4,4,4
1872,1.54310222222222,NA,NA,35.3,"Daycent","4_44",4,4,4
1873,1.22398444444444,NA,NA,34.6,"Daycent","4_44",4,4,4
1874,1.07379777777778,NA,NA,33.9,"Daycent","4_44",4,4,4
1875,1.10433333333333,NA,NA,33.3,"Daycent","4_44",4,4,4
1876,1.41149777777778,NA,NA,32.8,"Daycent","4_44",4,4,4
1877,1.7719,NA,NA,32.2,"Daycent","4_44",4,4,4
1878,1.71181777777778,NA,NA,31.8,"Daycent","4_44",4,4,4
1879,1.72469777777778,NA,NA,31.3,"Daycent","4_44",4,4,4
1880,1.39968,NA,NA,30.9,"Daycent","4_44",4,4,4
1881,1.23290444444444,NA,NA,30.5,"Daycent","4_44",4,4,4
1882,1.32137333333333,NA,NA,30.2,"Daycent","4_44",4,4,4
1883,1.33670222222222,NA,NA,29.8,"Daycent","4_44",4,4,4
1884,1.19723111111111,NA,NA,29.4,"Daycent","4_44",4,4,4
1885,1.16140888888889,NA,NA,29.1,"Daycent","4_44",4,4,4
1886,1.45442666666667,NA,NA,28.8,"Daycent","4_44",4,4,4
1887,1.31829777777778,NA,NA,28.5,"Daycent","4_44",4,4,4
1888,1.04444444444444,NA,NA,28.2,"Daycent","4_44",4,4,4
1889,1.40185333333333,NA,NA,27.9,"Daycent","4_44",4,4,4
1890,1.19545555555556,NA,NA,27.6,"Daycent","4_44",4,4,4
1891,1.01716666666667,NA,NA,27.4,"Daycent","4_44",4,4,4
1892,1.15322888888889,NA,NA,27.2,"Daycent","4_44",4,4,4
1893,1.28231333333333,NA,NA,27,"Daycent","4_44",4,4,4
1894,1.18500888888889,NA,NA,26.8,"Daycent","4_44",4,4,4
1895,1.09824666666667,NA,NA,26.6,"Daycent","4_44",4,4,4
1896,1.10556,NA,NA,26.4,"Daycent","4_44",4,4,4
1897,0.950011111111111,NA,NA,26.1,"Daycent","4_44",4,4,4
1898,1.11697777777778,NA,NA,25.9,"Daycent","4_44",4,4,4
1899,1.18372666666667,NA,NA,25.7,"Daycent","4_44",4,4,4
1900,1.21589555555556,NA,NA,25.6,"Daycent","4_44",4,4,4
1901,1.20163333333333,NA,NA,25.4,"Daycent","4_44",4,4,4
1902,1.15503111111111,NA,NA,25.2,"Daycent","4_44",4,4,4
1903,1.19617333333333,NA,NA,25.1,"Daycent","4_44",4,4,4
1904,1.09962,NA,NA,25,"Daycent","4_44",4,4,4
1905,1.32543333333333,NA,NA,24.8,"Daycent","4_44",4,4,4
1906,1.25591111111111,NA,NA,24.7,"Daycent","4_44",4,4,4
1907,1.31743777777778,NA,NA,24.6,"Daycent","4_44",4,4,4
1908,1.14375333333333,NA,NA,24.5,"Daycent","4_44",4,4,4
1909,1.00442,NA,NA,24.4,"Daycent","4_44",4,4,4
1910,1.09207333333333,NA,NA,24.3,"Daycent","4_44",4,4,4
1911,1.12288222222222,NA,NA,24.2,"Daycent","4_44",4,4,4
1912,1.03321555555556,NA,NA,24,"Daycent","4_44",4,4,4
1913,1.01998666666667,NA,NA,24,"Daycent","4_44",4,4,4
1914,1.22464888888889,NA,NA,23.8,"Daycent","4_44",4,4,4
1915,1.13586444444444,NA,NA,23.7,"Daycent","4_44",4,4,4
1916,0.945264444444445,NA,NA,23.7,"Daycent","4_44",4,4,4
1917,1.23540666666667,NA,NA,23.6,"Daycent","4_44",4,4,4
1918,1.09684,NA,NA,23.5,"Daycent","4_44",4,4,4
1919,0.977777777777778,NA,NA,23.4,"Daycent","4_44",4,4,4
1920,1.10196666666667,NA,NA,23.4,"Daycent","4_44",4,4,4
1921,1.34230666666667,NA,NA,23.3,"Daycent","4_44",4,4,4
1922,1.28852666666667,NA,NA,23.2,"Daycent","4_44",4,4,4
1923,1.18815333333333,NA,NA,23.2,"Daycent","4_44",4,4,4
1924,1.15350222222222,NA,NA,23.1,"Daycent","4_44",4,4,4
1925,1.07720666666667,NA,NA,23,"Daycent","4_44",4,4,4
1926,1.22667111111111,NA,NA,22.9,"Daycent","4_44",4,4,4
1927,1.32465111111111,NA,NA,22.8,"Daycent","4_44",4,4,4
1928,1.34138444444444,NA,NA,22.8,"Daycent","4_44",4,4,4
1929,1.18849555555556,NA,NA,22.7,"Daycent","4_44",4,4,4
1930,1.15266,NA,NA,22.6,"Daycent","4_44",4,4,4
1931,1.19871111111111,NA,NA,22.6,"Daycent","4_44",4,4,4
1932,1.11499777777778,NA,NA,22.5,"Daycent","4_44",4,4,4
1933,1.32141111111111,NA,NA,22.5,"Daycent","4_44",4,4,4
1934,1.24353111111111,NA,NA,22.4,"Daycent","4_44",4,4,4
1935,1.32331555555556,NA,NA,22.4,"Daycent","4_44",4,4,4
1936,1.17729333333333,NA,NA,22.3,"Daycent","4_44",4,4,4
1937,1.03620888888889,NA,NA,22.2,"Daycent","4_44",4,4,4
1938,1.12455333333333,NA,NA,22.2,"Daycent","4_44",4,4,4
1939,1.15714888888889,NA,NA,22.2,"Daycent","4_44",4,4,4
1940,1.07702444444444,NA,NA,22.1,"Daycent","4_44",4,4,4
1941,1.05996444444444,NA,NA,22,"Daycent","4_44",4,4,4
1942,1.26454,NA,NA,22,"Daycent","4_44",4,4,4
1943,1.19201555555556,NA,NA,21.9,"Daycent","4_44",4,4,4
1944,0.998846666666667,NA,NA,21.9,"Daycent","4_44",4,4,4
1945,1.29604666666667,NA,NA,21.8,"Daycent","4_44",4,4,4
1946,1.15984666666667,NA,NA,21.8,"Daycent","4_44",4,4,4
1947,1.05262444444444,NA,NA,21.7,"Daycent","4_44",4,4,4
1948,1.18350666666667,NA,NA,21.7,"Daycent","4_44",4,4,4
1949,1.25984,NA,NA,21.7,"Daycent","4_44",4,4,4
1950,NA,1.84152444444444,NA,21.7,"Daycent","4_44",4,4,4
1951,1.93017777777778,NA,NA,21.6,"Daycent","4_44",4,4,4
1952,NA,1.81923111111111,NA,21.6,"Daycent","4_44",4,4,4
1953,1.56402,NA,NA,21.7,"Daycent","4_44",4,4,4
1954,NA,1.83365555555556,NA,21.7,"Daycent","4_44",4,4,4
1955,1.76022222222222,NA,NA,21.7,"Daycent","4_44",4,4,4
1956,NA,1.44176444444444,NA,21.7,"Daycent","4_44",4,4,4
1957,1.64557111111111,NA,NA,21.7,"Daycent","4_44",4,4,4
1958,NA,1.89558,NA,21.7,"Daycent","4_44",4,4,4
1959,1.79496888888889,NA,NA,21.7,"Daycent","4_44",4,4,4
1960,NA,1.57814666666667,NA,21.7,"Daycent","4_44",4,4,4
1961,3.02409333333333,NA,NA,21.7,"Daycent","4_44",4,4,4
1962,NA,1.39923555555556,NA,21.7,"Daycent","4_44",4,4,4
1963,2.42280444444444,NA,NA,21.7,"Daycent","4_44",4,4,4
1964,NA,1.33207333333333,NA,21.7,"Daycent","4_44",4,4,4
1965,2.86933333333333,NA,NA,21.7,"Daycent","4_44",4,4,4
1966,NA,1.63956888888889,NA,21.7,"Daycent","4_44",4,4,4
