"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"59.9429361151632","Millennial","4_42","4","4","2"
"1851",NA,NA,NA,"57.3672367165156","Millennial","4_42","4","4","2"
"1852",NA,NA,NA,"55.8260021694937","Millennial","4_42","4","4","2"
"1853",NA,NA,NA,"54.0749146822338","Millennial","4_42","4","4","2"
"1854",NA,NA,NA,"52.5434010748367","Millennial","4_42","4","4","2"
"1855",NA,NA,NA,"50.5927706043828","Millennial","4_42","4","4","2"
"1856",NA,NA,NA,"48.5762186416385","Millennial","4_42","4","4","2"
"1857",NA,NA,NA,"47.6769405634678","Millennial","4_42","4","4","2"
"1858",NA,NA,NA,"46.2687350909719","Millennial","4_42","4","4","2"
"1859",NA,NA,NA,"44.6525855630812","Millennial","4_42","4","4","2"
"1860",NA,NA,NA,"43.100094676692","Millennial","4_42","4","4","2"
"1861",NA,NA,NA,"41.9825941323973","Millennial","4_42","4","4","2"
"1862",NA,NA,NA,"40.8590098828303","Millennial","4_42","4","4","2"
"1863",NA,NA,NA,"39.9392381373127","Millennial","4_42","4","4","2"
"1864",NA,NA,NA,"39.3118627158741","Millennial","4_42","4","4","2"
"1865",NA,NA,NA,"38.5752538743594","Millennial","4_42","4","4","2"
"1866",NA,NA,NA,"37.5654395930349","Millennial","4_42","4","4","2"
"1867",NA,NA,NA,"36.8290636944131","Millennial","4_42","4","4","2"
"1868",NA,NA,NA,"35.8854803440818","Millennial","4_42","4","4","2"
"1869",NA,NA,NA,"34.5144274543148","Millennial","4_42","4","4","2"
"1870",NA,NA,NA,"33.4814469767484","Millennial","4_42","4","4","2"
"1871",NA,NA,NA,"32.3910211814365","Millennial","4_42","4","4","2"
"1872",NA,NA,NA,"31.4723363190907","Millennial","4_42","4","4","2"
"1873",NA,NA,NA,"30.5117314322298","Millennial","4_42","4","4","2"
"1874",NA,NA,NA,"29.5106395455928","Millennial","4_42","4","4","2"
"1875",NA,NA,NA,"28.9028664265874","Millennial","4_42","4","4","2"
"1876",NA,NA,NA,"28.1376021905342","Millennial","4_42","4","4","2"
"1877",NA,NA,NA,"27.6738152233645","Millennial","4_42","4","4","2"
"1878",NA,NA,NA,"26.9523490073625","Millennial","4_42","4","4","2"
"1879",NA,NA,NA,"26.5376975392907","Millennial","4_42","4","4","2"
"1880",NA,NA,NA,"26.0647944294795","Millennial","4_42","4","4","2"
"1881",NA,NA,NA,"25.677791733318","Millennial","4_42","4","4","2"
"1882",NA,NA,NA,"25.3152440040765","Millennial","4_42","4","4","2"
"1883",NA,NA,NA,"24.7903298066995","Millennial","4_42","4","4","2"
"1884",NA,NA,NA,"24.1267584207618","Millennial","4_42","4","4","2"
"1885",NA,NA,NA,"23.9553382550693","Millennial","4_42","4","4","2"
"1886",NA,NA,NA,"23.5419256017959","Millennial","4_42","4","4","2"
"1887",NA,NA,NA,"23.0337112876063","Millennial","4_42","4","4","2"
"1888",NA,NA,NA,"22.492911748557","Millennial","4_42","4","4","2"
"1889",NA,NA,NA,"22.1341296940482","Millennial","4_42","4","4","2"
"1890",NA,NA,NA,"21.788632107401","Millennial","4_42","4","4","2"
"1891",NA,NA,NA,"21.5070809329349","Millennial","4_42","4","4","2"
"1892",NA,NA,NA,"21.3531213538477","Millennial","4_42","4","4","2"
"1893",NA,NA,NA,"21.1612991064787","Millennial","4_42","4","4","2"
"1894",NA,NA,NA,"20.8348977000943","Millennial","4_42","4","4","2"
"1895",NA,NA,NA,"20.6030926002695","Millennial","4_42","4","4","2"
"1896",NA,NA,NA,"20.2780031031598","Millennial","4_42","4","4","2"
"1897",NA,NA,NA,"19.6873023222138","Millennial","4_42","4","4","2"
"1898",NA,NA,NA,"19.2457628787366","Millennial","4_42","4","4","2"
"1899",NA,NA,NA,"18.7533383089921","Millennial","4_42","4","4","2"
"1900",NA,NA,NA,"18.3439445069316","Millennial","4_42","4","4","2"
"1901",NA,NA,NA,"17.9253080803804","Millennial","4_42","4","4","2"
"1902",NA,NA,NA,"17.506254192826","Millennial","4_42","4","4","2"
"1903",NA,NA,NA,"17.3030803939513","Millennial","4_42","4","4","2"
"1904",NA,NA,NA,"17.0374618244746","Millennial","4_42","4","4","2"
"1905",NA,NA,NA,"16.8685128699184","Millennial","4_42","4","4","2"
"1906",NA,NA,NA,"16.5210858510904","Millennial","4_42","4","4","2"
"1907",NA,NA,NA,"16.3552372303417","Millennial","4_42","4","4","2"
"1908",NA,NA,NA,"16.1374803351929","Millennial","4_42","4","4","2"
"1909",NA,NA,NA,"15.9824742290833","Millennial","4_42","4","4","2"
"1910",NA,NA,NA,"15.8331838269052","Millennial","4_42","4","4","2"
"1911",NA,NA,NA,"15.6166776728253","Millennial","4_42","4","4","2"
"1912",NA,NA,NA,"15.2642066536581","Millennial","4_42","4","4","2"
"1913",NA,NA,NA,"15.2272053923239","Millennial","4_42","4","4","2"
"1914",NA,NA,NA,"15.049547454012","Millennial","4_42","4","4","2"
"1915",NA,NA,NA,"14.8188822977095","Millennial","4_42","4","4","2"
